ticker,cik,cik_int,form,date,accession,accession_dashed,document,description
JPM,0000019617,19617,8-K,2025-10-22,000119312525246803,0001193125-25-246803,d33741d8k.htm,8-K
JPM,0000019617,19617,8-K,2025-10-14,000162828025044887,0001628280-25-044887,jpm-20251014.htm,8-K
JPM,0000019617,19617,8-K,2025-10-14,000162828025044845,0001628280-25-044845,jpm-20251014.htm,8-K
JPM,0000019617,19617,8-K,2025-09-12,000001961725000907,0000019617-25-000907,jpm-20250912.htm,8-K
JPM,0000019617,19617,8-K,2025-07-23,000119312525163423,0001193125-25-163423,d204798d8k.htm,8-K
JPM,0000019617,19617,8-K,2025-07-15,000001961725000520,0000019617-25-000520,jpm-20250715.htm,8-K
NVDA,0001045810,1045810,8-K,2026-05-20,000104581026000051,0001045810-26-000051,nvda-20260520.htm,8-K
NVDA,0001045810,1045810,8-K,2026-05-08,000104581026000028,0001045810-26-000028,nvda-20260507.htm,8-K
NVDA,0001045810,1045810,8-K,2026-04-27,000104581026000026,0001045810-26-000026,nvda-20260424.htm,8-K
NVDA,0001045810,1045810,8-K,2026-03-06,000104581026000024,0001045810-26-000024,nvda-20260302.htm,8-K
NVDA,0001045810,1045810,8-K,2026-02-25,000104581026000019,0001045810-26-000019,nvda-20260225.htm,8-K
NVDA,0001045810,1045810,8-K,2026-01-23,000104581026000003,0001045810-26-000003,nvda-20260120.htm,8-K
NVDA,0001045810,1045810,8-K,2025-11-19,000104581025000228,0001045810-25-000228,nvda-20251119.htm,8-K
NVDA,0001045810,1045810,8-K,2025-08-27,000104581025000207,0001045810-25-000207,nvda-20250827.htm,8-K
NVDA,0001045810,1045810,8-K,2025-08-05,000104581025000197,0001045810-25-000197,nvda-20250731.htm,8-K
NVDA,0001045810,1045810,8-K,2025-07-01,000104581025000179,0001045810-25-000179,nvda-20250625.htm,8-K
NVDA,0001045810,1045810,8-K,2025-05-28,000104581025000115,0001045810-25-000115,nvda-20250528.htm,8-K
NVDA,0001045810,1045810,8-K,2025-04-15,000104581025000082,0001045810-25-000082,nvda-20250409.htm,8-K
NVDA,0001045810,1045810,8-K,2025-03-07,000104581025000039,0001045810-25-000039,nvda-20250303.htm,8-K
NVDA,0001045810,1045810,8-K,2025-02-26,000104581025000021,0001045810-25-000021,nvda-20250226.htm,8-K
NVDA,0001045810,1045810,8-K,2025-01-17,000104581025000007,0001045810-25-000007,nvda-20250113.htm,8-K
NVDA,0001045810,1045810,8-K,2024-11-20,000104581024000315,0001045810-24-000315,nvda-20241120.htm,8-K
NVDA,0001045810,1045810,8-K,2024-11-07,000104581024000300,0001045810-24-000300,nvda-20241107.htm,8-K
NVDA,0001045810,1045810,8-K,2024-08-28,000104581024000262,0001045810-24-000262,nvda-20240828.htm,8-K
NVDA,0001045810,1045810,8-K,2024-07-02,000104581024000206,0001045810-24-000206,nvda-20240626.htm,8-K
NVDA,0001045810,1045810,8-K,2024-06-07,000104581024000144,0001045810-24-000144,nvda-20240607.htm,8-K
